Product_code;Product_name;;
821165;Фильтр декаф 350мл;;
821166;Нубадо 180мл;;
821167;Кофе по Алжирски 120мл;;
821168;Айс-латте 270мл;;
821169;Бинго Бонго 270мл;;
821170;Айриш Кофе  150мл;;
821171;Эспрессо-фредо 130мл;;
821172;Кофе по-тайски NEW 250мл;;
821173;Эспрессо-оранж 250мл;;
821174;Эдельвейс 150мл;;
821175;Кофе Глясе 80мл;;
821176;Кофе Глясе к-брюле 80мл;;
821177;Фильтр кофе 150мл;;
821178;Эг-Ног Блэк 120мл;;
821179;Кофе по-тайски 250мл;;
821180;Д/Л Айс Амаретто 250мл;;
821181;Д/Л Айс Шок-М 250мл;;
821182;Д/Л Айс Кокос 250мл;;
821183;Д/Л Айс Банан 250мл;;
821184;Д/Л Айс Имб Пр 250мл;;
821185;Д/Л Айс Лес Ор 250мл;;
821186;Д/Л Айс Ваниль 250мл;;
821187;Д/Л Айс Айр/Кр 250мл;;
821188;Д/Л Айс Карамель 250мл;;
821189;Д/Л Айс Мята 250мл;;
821190;Д/Л Айс Мин М 250мл;;
821191;Бинго Бонго Тофи 270мл;;
821192;Френч п Колумб Супр 280мл;;
821193;Френч п Суматр Манд 280мл;;
821194;Френч пр Кения А.А. 280мл;;
821195;Френч пр Папуа Н/Гв 280мл;;
821196;Френч пр Гватемала 280мл;;
821197;Френч пр Джибути 280мл;;
821198;Френч пр Боса Нова 280мл;;
821199;Френч пр Эль Сальв 280мл;;
821200;Пикколо 130мл;;
821201;Кофе Франжелико 150мл;;
821202;Кофе Американ/Кэрол 120мл;;
821203;Фрау Амарула 120мл;;
821204;Габен 115мл;;
821205;Кафе де Франс 115мл;;
821206;ЭСПРЕССО Экстра 30мл;;
821207;Тай Кофе 270мл;;
821208;Кофе по-восточному 70мл;;
821209;Френч пр Бразилия 280мл;;
821210;Френч пр Эфиопия 280мл;;
821211;Двойной макиато 90мл;;
821212;КремРом 170мл;;
821213;Пикколо соя 130мл;;
821214;Фильтр-кофе с собой 300мл;;
821215;Фр-пр Бразил Бурбон 260мл;;
821216;Фр-пр Браз Бурб мол 280мл;;
821217;Фр-пр Гватемала 240мл;;
821218;Френч-пресс Эфиопия 240мл;;
821219;Фр-пр Эфиопия мол 260мл;;
821220;Фр-пр Гватемала мол 260мл;;
821221;Фр-пр Эль Сальвадор 260мл;;
821222;Фр-пр Эль Сальв мол 280мл;;
821223;Новый кофе/напиток 180мл;;
821224;Кофе по-тайски/Д 250г;;
821225;Двойной американо 170мл;;
