ID_STOP;STOP_NAME;LATITUDE;LONGITUDE
100101;Пр.Ветеранов-1;59.8416038827508;30.2539842396693
100102;Пр.Ветеранов-2;59.8420417837763;30.25008403131
100103;Ленинский пр.-1;59.8516834239607;30.2683847248898
100104;Ленинский пр.-2;59.8497096845857;30.2683477910985
100105;Автово;59.8672920598579;30.2611327749718
100106;Кировский завод;59.8797529383961;30.2616313811541
100107;Нарвская;59.9010643542386;30.274818591331
100108;Балтийская;59.9074279378188;30.2997858342371
100109;Пушкинская;59.9205142694969;30.3296781982105
100110;Владимирская;59.9276107242842;30.348374083357
100111;Пл. Восстания-1;59.9315849272904;30.3604957536555
100112;Пл. Восстания-2;59.9294900866043;30.3609241856343
100113;Чернышевская;59.9445750067292;30.3596528994706
100114;Пл.Ленина-1;59.9555863949925;30.3557692263356
100115;Пл.Ленина-2;59.9585630592083;30.3549694454614
100116;Выборгская;59.971158956837;30.3474265622214
100117;Лесная;59.9848462299829;30.3442651595776
100118;Пл. Мужества;59.9996134437551;30.366041164943
100119;Политехническая;60.008863753924;30.3706023848787
100120;Академическая;60.0128070664196;30.396228307148
100121;Гражданский пр.;60.0350363281555;30.4184994177378
100122;Девяткино;60.0506778791307;30.4432009973914
100200;Купчино-2;59.8294108511147;30.3771547402128
100201;Купчино-1;59.8302758312142;30.3767373883713
100202;Звездная;59.8333179325646;30.3491441529051
100203;Московская-2;59.8492384926523;30.3211501858036
100204;Московская-1;59.8532053864619;30.3217688268075
100205;Парк Победы;59.8663640733251;30.3215453773703
100206;Электросила;59.8791820868077;30.3189119980519
100207;Московские ворота;59.8917700537439;30.3180182003029
100208;Фрунзенская;59.9062691193159;30.3178150644509
100209;Технологический институт-1;59.9167248000597;30.3188769109504
100210;Технологический институт-2;59.9162809391697;30.3183967716636
100211;Сенная площадь;59.927171635864;30.3203948897719
100212;Невский пр.-1;59.9349808974143;30.3304944349977
100213;Невский пр.-2;59.9355285870474;30.3269340175182
100214;Горьковская;59.9563008079342;30.3189969457719
100215;Петроградская;59.9663077049433;30.3114070516637
100217;Пионерская;60.0024977103416;30.2966224550138
100218;Удельная;60.0167241651312;30.3152278523717
100219;Озерки;60.0372296870609;30.321635865159
100220;Пр. Просвещения;60.0522312658076;30.3332441557587
100221;Парнас;60.0671126894063;30.3341601137825
100230;Черная речка;59.9854607460386;30.3008809211485
100301;Приморская;59.948558526973;30.2344425707022
100302;Василеостровская;59.9427134003301;30.2783051412278
100303;Гостиный двор;59.9340770047094;30.3338018560069
100304;Маяковская;59.9315918666926;30.3551422006092
100305;Пл.Александра Невского-1;59.9242389869504;30.3853725087728
100306;Елизаровская;59.8965914291352;30.4237725715679
100307;Ломоносовская;59.8773109964002;30.4419255299826
100308;Пролетарская;59.8650383333602;30.47027590817
100309;Обухово;59.848572505274;30.4579788023629
100310;Рыбацкое;59.8304373164266;30.5008644741091
100402;Улица Дыбенко;59.9073621968998;30.4830494598846
100403;Пр.Большевиков;59.9196321966596;30.4669832606773
100404;Ладожская-1;59.9326100926283;30.4389874468861
100405;Новочеркасская;59.9288127511553;30.4111541417766
100406;Пл. Александра Невского-2;59.9235402582984;30.3837889724716
100407;Лиговский пр.;59.9208238687267;30.3549169044823
100408;Достоевская;59.9282358021993;30.3463390314572
100409;Спасская;59.9268727377876;30.3197559351826
100505;Международная;59.8704109616795;30.3789774228123
100506;Бухарестская;59.8842290573122;30.3692416754306
100507;Волковская;59.8962445543052;30.3573379145007
100508;Обводный канал;59.9146799359245;30.349736940255
100509;Звенигородская;59.922342205196;30.3357685803925
100510;Садовая;59.9264734316668;30.3182656567043
100511;Адмиралтейская;59.9359943936632;30.3150598036211
100512;Спортивная-1;59.9516975449968;30.2919724906912
100513;Чкаловская;59.9609866306347;30.2920463582738
100514;Крестовский остров;59.9717924205307;30.2594135069873
100515;Старая Деревня;59.9895383917864;30.2552178282978
100516;Комендантский пр.;60.0078102700019;30.2594762944325
100530;Спортивная-2;59.9477969616639;30.2836697744112
1282;10 КМ [145, 165, 482, 482а, 482в, 484, 484б];59.77337182476076;30.1251106
1285;12-13 ЛИНИИ (ПО СРЕДНЕМУ ПР. В.О.) [6];59.94112057347588;30.2717571
1287;18-19 ЛИНИИ [6];59.938797516478;30.2641411
1290;1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР. [6];59.94453814792944;30.2870083
1291;1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71];59.91596542482977;30.3104362
1292;ШУШАРСКАЯ ДОРОГА;59.76796955936776;30.3482895
1293;21 КМ [485];59.88336543849676;30.6802368
1294;22-23 ЛИНИИ [6];59.93734680629446;30.2591171
1295;25 КМ [435];60.12392089913464;30.2300968
1297;26 КМ [435];60.14115920717778;30.2086029
1299;28 КМ [482, 482а, 482в, 484, 484шК., 484б];59.68253836628228;29.8940887
1300;29 КМ [435];60.15527510122238;30.1910286
1301;ПОЛОЦКАЯ УЛ.;59.73362704066002;30.4702568
1302;30 КМ [555, 435];60.16484883657985;30.1836891
1303;31 КМ [435];60.17117202174958;30.179533
1304;36 КМ [555];60.1892140978964;30.0984745
1306;39 КМ,1 [555];60.19600447996184;30.057642
1307;39 КМ,2 [555];60.19610293016979;30.0498066
1308;3-Й ВЕРХНИЙ ПЕР.,УГ. ДОМОСТРОИТЕЛЬНОЙ УЛ. [113];60.06178749337684;30.3656101
1310;44 КМ;59.90786722848099;31.0453415
1311;4-Й ВЕРХНИЙ ПЕРЕУЛОК [113, 113];60.07133392043399;30.3500004
