Территория	Тип керамики	Номер образца	K	Ca	SiO2	Na	K	Ca	Mg	Ti	Fe
О-в Ребун	Охотский	17	0.41	0.25	0.34	0.46	0.34	0.2	0.06	0.04	0.9
О-в Ребун	Охотский	24	0.08	0.14	0.77	0.6	0.15	0.25	0.12	0.16	0.72
О-в Ребун	Охотский	29	0.07	0.84	0.09	0.24	0.06	0.7	0.08	0.03	0.89
О-в Ребун	Охотский	31	0.09	0.85	0.06	0.07	0.09	0.84	0.07	0.03	0.89
О-в Ребун	Охотский	32	0.04	0.83	0.12	0.19	0.04	0.78	0.03	0.05	0.93
О-в Ребун	Охотский	33	0.08	0.91	0.01	0.05	0.08	0.87	0.04	0.01	0.95
О-в Ребун	Охотский	61	0.26	0.16	0.58	0.24	0.47	0.29	0.02	0.03	0.95
О-в Ребун	Охотский	62	0.05	0.92	0.03	0.09	0.05	0.86	0.34	0.04	0.61
О-в Ребун	Охотский	63	0.09	0.85	0.06	0.2	0.07	0.73	0.07	0.04	0.89
О-в Ребун	Охотский	67	0.28	0.64	0.07	0.16	0.26	0.59	0.06	0.09	0.85
О-в Ребун	Охотский	68	0.11	0.85	0.04	0.11	0.1	0.79	0.17	0.11	0.73
О-в Ребун	Сусуйский	614	0.46	0.2	0.34	0.31	0.48	0.21	0.02	0.29	0.69
О-в Ребун	Сусуйский	615	0.4	0.2	0.4	0.12	0.59	0.29	0	0.38	0.62
Г. Есаши	Охотский	15	0.24	0.35	0.41	0.5	0.2	0.3	0.21	0.35	0.44
Г. Есаши	Охотский	16	0.27	0.26	0.47	0.57	0.22	0.21	0.26	0.15	0.59
Г. Есаши	Охотский	22	0.14	0.53	0.33	0.41	0.12	0.47	0.32	0.2	0.48
Г. Есаши	Охотский	35	0.15	0.63	0.22	0.56	0.09	0.35	0.11	0.33	0.56
Г. Есаши	Охотский	61	0.15	0.56	0.29	0.52	0.1	0.37	0.37	0.26	0.37
Г. Есаши	Охотский	62	0.23	0.53	0.24	0.47	0.16	0.37	0.32	0.17	0.51
